Event,Start time,End time,Priority,Classification
MALWARE-TOOLS slowhttptest DoS tool,06/12-06:00:49.446220,06/12-06:01:01.331908,2,Attempted Denial of Service
FTP connection attempt,06/12-06:02:35.745404,06/12-06:02:36.177313,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-06:03:16.115763,06/12-06:07:18.711016,2,Attempted Denial of Service
ICMP connection attempt,06/12-06:09:21.251891,06/12-06:10:38.781427,0,unknown
FTP connection attempt,06/12-06:13:39.427241,06/12-06:13:39.855940,0,unknown
ICMP connection attempt,06/12-06:17:18.877258,06/12-06:18:36.994739,0,unknown
FTP connection attempt,06/12-06:20:50.542298,06/12-06:28:37.990070,0,unknown
ICMP connection attempt,06/12-06:28:43.043086,06/12-06:28:49.060043,0,unknown
FTP connection attempt,06/12-06:33:51.512584,06/12-06:33:51.944242,0,unknown
ICMP connection attempt,06/12-06:38:28.240351,06/12-06:38:28.461703,0,unknown
FTP connection attempt,06/12-06:40:47.086183,06/12-07:11:46.670812,0,unknown
ICMP connection attempt,06/12-07:12:01.268150,06/12-07:12:38.770165,0,unknown
FTP connection attempt,06/12-07:12:46.554079,06/12-07:23:34.104604,0,unknown
ICMP connection attempt,06/12-07:27:31.039881,06/12-07:27:31.047395,0,unknown
FTP connection attempt,06/12-07:27:31.060842,06/12-07:27:31.060842,0,unknown
ICMP connection attempt,06/12-07:27:31.366137,06/12-07:27:31.366137,0,unknown
FTP connection attempt,06/12-07:27:34.061340,06/12-07:33:51.786753,0,unknown
ICMP connection attempt,06/12-07:37:22.684840,06/12-07:37:50.620222,0,unknown
SSH connection attempt,06/12-07:40:08.347049,06/12-07:40:08.347049,0,unknown
FTP connection attempt,06/12-07:40:46.967873,06/12-07:40:50.275283,0,unknown
SSH connection attempt,06/12-07:43:48.362662,06/12-07:43:48.362662,0,unknown
ICMP connection attempt,06/12-07:47:30.977767,06/12-07:47:31.314463,0,unknown
FTP connection attempt,06/12-07:56:38.498502,06/12-07:56:38.917942,0,unknown
ICMP connection attempt,06/12-08:13:12.607544,06/12-08:13:12.609585,0,unknown
FTP connection attempt,06/12-08:13:39.158579,06/12-08:20:53.665675,0,unknown
ICMP connection attempt,06/12-08:22:29.594522,06/12-08:22:29.602010,0,unknown
FTP connection attempt,06/12-08:22:29.612589,06/12-08:22:29.612589,0,unknown
ICMP connection attempt,06/12-08:22:29.752998,06/12-08:22:29.752998,0,unknown
FTP connection attempt,06/12-08:22:32.614242,06/12-08:22:39.534256,0,unknown
ICMP connection attempt,06/12-08:22:59.216358,06/12-08:23:21.512975,0,unknown
FTP connection attempt,06/12-08:28:37.188050,06/12-08:40:47.279722,0,unknown
ICMP connection attempt,06/12-08:45:47.748717,06/12-08:51:50.844794,0,unknown
MALWARE-CNC Win.Dropper.Agent ransomware downloader outbound connection detected,06/12-08:52:16.892777,06/12-08:52:16.892777,1,A Network Trojan was Detected
ICMP connection attempt,06/12-08:53:52.025293,06/12-08:53:52.025293,0,unknown
FTP connection attempt,06/12-08:56:38.371769,06/12-09:02:38.872625,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-09:03:49.446220,06/12-09:10:18.711016,2,Attempted Denial of Service
FTP connection attempt,06/12-09:11:38.958196,06/12-09:11:42.272633,0,unknown
ICMP connection attempt,06/12-09:11:55.486470,06/12-09:16:01.358363,0,unknown
FTP connection attempt,06/12-09:20:48.052146,06/12-09:23:36.601556,0,unknown
ICMP connection attempt,06/12-09:26:24.062788,06/12-09:26:51.045291,0,unknown
FTP connection attempt,06/12-09:28:36.985336,06/12-09:28:37.412754,0,unknown
ICMP connection attempt,06/12-09:28:52.536230,06/12-09:31:33.267303,0,unknown
FTP connection attempt,06/12-09:33:51.068052,06/12-09:33:51.501327,0,unknown
ICMP connection attempt,06/12-09:35:09.031777,06/12-09:36:57.739008,0,unknown
SSH connection attempt,06/12-09:40:07.192323,06/12-09:40:07.192323,0,unknown
FTP connection attempt,06/12-09:40:52.535446,06/12-09:40:53.122659,0,unknown
SSH connection attempt,06/12-09:43:46.865375,06/12-09:43:46.865375,0,unknown
FTP connection attempt,06/12-09:55:34.523928,06/12-10:01:14.273916,0,unknown
ICMP connection attempt,06/12-10:02:59.600992,06/12-10:02:59.600992,0,unknown
FTP connection attempt,06/12-10:04:39.852040,06/12-10:33:51.339063,0,unknown
ICMP connection attempt,06/12-10:35:34.607516,06/12-10:35:34.608965,0,unknown
FTP connection attempt,06/12-10:40:46.739764,06/12-10:40:47.175958,0,unknown
ICMP connection attempt,06/12-10:41:08.226411,06/12-10:45:05.720225,0,unknown
FTP connection attempt,06/12-10:55:34.544588,06/12-10:56:38.576037,0,unknown
ICMP connection attempt,06/12-11:08:27.105240,06/12-11:08:54.639449,0,unknown
FTP connection attempt,06/12-11:11:41.853804,06/12-11:11:45.170135,0,unknown
ICMP connection attempt,06/12-11:12:25.517938,06/12-11:12:56.248348,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-11:15:13.771022,06/12-11:15:16.129519,2,Attempted Denial of Service
FTP connection attempt,06/12-11:20:40.258769,06/12-11:20:40.751347,0,unknown
ICMP connection attempt,06/12-11:22:57.329368,06/12-11:23:03.759017,0,unknown
FTP connection attempt,06/12-11:23:32.886607,06/12-11:33:51.177935,0,unknown
ICMP connection attempt,06/12-11:34:09.244138,06/12-11:34:09.245905,0,unknown
SSH connection attempt,06/12-11:40:05.700060,06/12-11:40:05.700060,0,unknown
FTP connection attempt,06/12-11:40:46.569129,06/12-11:40:46.988049,0,unknown
SSH connection attempt,06/12-11:43:45.374124,06/12-11:43:45.374124,0,unknown
FTP connection attempt,06/12-11:54:46.184574,06/12-11:56:38.461032,0,unknown
ICMP connection attempt,06/12-12:01:50.830026,06/12-12:01:50.831832,0,unknown
FTP connection attempt,06/12-12:02:34.614100,06/12-12:04:40.644613,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-12:05:13.771022,06/12-12:11:15.363636,2,Attempted Denial of Service
FTP connection attempt,06/12-12:13:41.861466,06/12-12:13:42.335983,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-12:11:15.726213,06/12-11:15:18.710728,2,Attempted Denial of Service
FTP connection attempt,06/12-12:20:50.046301,06/12-12:20:53.349930,0,unknown
ICMP connection attempt,06/12-12:28:35.546965,06/12-12:28:35.553171,0,unknown
FTP connection attempt,06/12-12:28:36.414676,06/12-13:01:45.559792,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-12:05:17.561405,06/12-12:05:18.710728,2,Attempted Denial of Service
FTP connection attempt,06/12-13:11:38.250201,06/12-13:11:41.551130,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-12:11:17.561405,06/12-12:11:17.561405,2,Attempted Denial of Service
FTP connection attempt,06/12-13:12:42.567821,06/12-13:12:42.981236,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-12:11:16.472764,06/12-12:11:18.710728,2,Attempted Denial of Service
FTP connection attempt,06/12-13:20:35.900592,06/12-13:23:32.905999,0,unknown
ICMP connection attempt,06/12-13:23:42.819941,06/12-13:23:42.821547,0,unknown
FTP connection attempt,06/12-13:28:36.234961,06/12-13:34:45.317755,0,unknown
SSH connection attempt,06/12-13:40:04.210365,06/12-13:40:04.210365,0,unknown
FTP connection attempt,06/12-13:40:46.348608,06/12-13:40:46.776742,0,unknown
SSH connection attempt,06/12-13:43:43.891858,06/12-13:43:43.891858,0,unknown
FTP connection attempt,06/12-13:54:49.461200,06/12-13:54:49.899312,0,unknown
ICMP connection attempt,06/12-13:55:17.882341,06/12-13:55:17.889117,0,unknown
FTP connection attempt,06/12-13:55:37.705181,06/12-13:56:38.231588,0,unknown
MALWARE-CNC Win.Dropper.Agent ransomware downloader outbound connection detected,06/12-13:56:54.901071,06/12-13:56:54.901071,1,A Network Trojan was Detected
MALWARE-TOOLS slowhttptest DoS tool,06/12-14:03:36.508011,06/12-14:03:45.734657,2,Attempted Denial of Service
FTP connection attempt,06/12-14:04:39.883863,06/12-14:04:40.294704,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-14:08:36.488705,06/12-14:09:31.488861,2,Attempted Denial of Service
FTP connection attempt,06/12-14:13:52.498063,06/12-14:20:53.187858,0,unknown
ICMP connection attempt,06/12-14:24:33.429561,06/12-14:24:33.429869,0,unknown
FTP connection attempt,06/12-14:26:29.466063,06/12-14:28:36.449518,0,unknown
ICMP connection attempt,06/12-14:30:11.219174,06/12-14:30:11.650738,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-14:30:49.446220,06/12-14:33:46.101178,2,Attempted Denial of Service
FTP connection attempt,06/12-14:33:50.323411,06/12-14:33:50.733710,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-14:33:51.098530,06/12-14:34:27.703225,2,Attempted Denial of Service
SSH connection attempt,06/12-14:34:31.842507,06/12-14:34:31.955061,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-14:34:12.467906,06/12-14:37:18.711016,2,Attempted Denial of Service
FTP connection attempt,06/12-14:40:46.264827,06/12-14:40:49.563242,0,unknown
SSH connection attempt,06/12-14:41:20.904287,06/12-14:43:13.506390,0,unknown
ICMP connection attempt,06/12-14:50:11.173206,06/12-14:50:11.618896,0,unknown
FTP connection attempt,06/12-14:54:51.255125,06/12-15:02:34.508756,0,unknown
ICMP connection attempt,06/12-15:03:16.415501,06/12-15:03:27.425500,0,unknown
FTP connection attempt,06/12-15:04:39.002369,06/12-15:11:41.242762,0,unknown
ICMP connection attempt,06/12-15:16:11.554137,06/12-15:16:11.577185,0,unknown
FTP connection attempt,06/12-15:20:35.520974,06/12-15:28:42.578138,0,unknown
ICMP connection attempt,06/12-15:31:27.282570,06/12-15:31:27.285448,0,unknown
FTP connection attempt,06/12-15:33:50.198209,06/12-15:33:50.610212,0,unknown
ICMP connection attempt,06/12-15:36:11.505498,06/12-15:36:47.750518,0,unknown
SSH connection attempt,06/12-15:40:02.726011,06/12-15:40:02.726011,0,unknown
FTP connection attempt,06/12-15:40:46.152388,06/12-15:40:49.459798,0,unknown
SSH connection attempt,06/12-15:43:42.407020,06/12-15:43:42.407020,0,unknown
ICMP connection attempt,06/12-15:45:30.319556,06/12-15:51:03.395118,0,unknown
FTP connection attempt,06/12-15:54:48.855028,06/12-16:04:40.016946,0,unknown
ICMP connection attempt,06/12-16:05:21.378007,06/12-16:05:40.379083,0,unknown
FTP connection attempt,06/12-16:13:03.927641,06/12-16:33:53.885972,0,unknown
ICMP connection attempt,06/12-16:36:30.999248,06/12-16:37:06.712394,0,unknown
FTP connection attempt,06/12-16:40:46.047033,06/12-16:40:49.345948,0,unknown
ICMP connection attempt,06/12-16:45:48.664136,06/12-16:45:48.665989,0,unknown
FTP connection attempt,06/12-16:54:45.553760,06/12-17:28:39.207488,0,unknown
ICMP connection attempt,06/12-17:31:25.741801,06/12-17:31:25.745833,0,unknown
FTP connection attempt,06/12-17:33:52.988643,06/12-17:33:53.402103,0,unknown
ICMP connection attempt,06/12-17:38:29.931210,06/12-17:39:54.854144,0,unknown
SSH connection attempt,06/12-17:40:01.245601,06/12-17:40:01.245601,0,unknown
FTP connection attempt,06/12-17:40:45.930007,06/12-17:40:46.353104,0,unknown
SSH connection attempt,06/12-17:43:40.919996,06/12-17:43:40.919996,0,unknown
ICMP connection attempt,06/12-17:45:56.979539,06/12-17:46:08.589683,0,unknown
FTP connection attempt,06/12-17:54:45.424273,06/12-18:13:38.148871,0,unknown
ICMP connection attempt,06/12-18:18:31.354437,06/12-18:18:31.787115,0,unknown
FTP connection attempt,06/12-18:20:49.736182,06/12-18:34:47.771246,0,unknown
ICMP connection attempt,06/12-18:38:31.310046,06/12-18:38:31.755487,0,unknown
FTP connection attempt,06/12-18:40:45.851753,06/12-18:45:48.049297,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-18:50:49.446220,06/12-18:51:01.331908,2,Attempted Denial of Service
ICMP connection attempt,06/12-18:53:08.544389,06/12-18:53:08.548614,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-18:53:16.115763,06/12-18:54:42.452710,2,Attempted Denial of Service
FTP connection attempt,06/12-18:54:45.296382,06/12-18:54:45.711085,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-18:54:47.451282,06/12-18:55:26.119171,2,Attempted Denial of Service
FTP connection attempt,06/12-18:55:30.684865,06/12-18:55:31.110496,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-18:55:31.117012,06/12-18:56:35.256091,2,Attempted Denial of Service
FTP connection attempt,06/12-18:56:37.265960,06/12-18:56:37.711962,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-18:56:13.292269,06/12-18:57:18.711016,2,Attempted Denial of Service
SSH connection attempt,06/12-18:58:05.720990,06/12-18:59:27.644265,0,unknown
FTP connection attempt,06/12-19:01:44.147223,06/12-19:01:44.668868,0,unknown
ICMP connection attempt,06/12-19:05:31.887622,06/12-19:05:31.887622,0,unknown
FTP connection attempt,06/12-19:11:40.624602,06/12-19:20:35.139244,0,unknown
MALWARE-CNC Win.Dropper.Agent ransomware downloader outbound connection detected,06/12-19:23:12.686620,06/12-19:23:12.686620,1,A Network Trojan was Detected
FTP connection attempt,06/12-19:23:31.345342,06/12-19:23:31.763844,0,unknown
SSH connection attempt,06/12-19:24:12.228639,06/12-19:28:39.473489,0,unknown
FTP connection attempt,06/12-19:28:41.536783,06/12-19:28:41.989856,0,unknown
SSH connection attempt,06/12-19:28:42.291074,06/12-19:33:50.890258,0,unknown
FTP connection attempt,06/12-19:33:52.928151,06/12-19:33:53.345593,0,unknown
SSH connection attempt,06/12-19:33:53.756684,06/12-19:40:44.877741,0,unknown
FTP connection attempt,06/12-19:40:45.748281,06/12-19:40:46.166122,0,unknown
SSH connection attempt,06/12-19:40:46.964652,06/12-19:54:01.220081,0,unknown
ICMP connection attempt,06/12-19:54:03.183565,06/12-19:54:03.183565,0,unknown
SSH connection attempt,06/12-19:54:03.574767,06/12-19:54:07.678466,0,unknown
ICMP connection attempt,06/12-19:54:08.596448,06/12-19:54:08.600603,0,unknown
SSH connection attempt,06/12-19:54:09.650375,06/12-19:54:38.424621,0,unknown
ICMP connection attempt,06/12-19:54:38.898648,06/12-19:54:38.898776,0,unknown
SSH connection attempt,06/12-19:54:39.197204,06/12-19:54:45.183116,0,unknown
FTP connection attempt,06/12-19:54:45.192297,06/12-19:54:45.317561,0,unknown
SSH connection attempt,06/12-19:54:45.361164,06/12-19:54:45.539634,0,unknown
FTP connection attempt,06/12-19:54:45.561789,06/12-19:54:45.609432,0,unknown
SSH connection attempt,06/12-19:54:45.758214,06/12-19:55:11.110163,0,unknown
ICMP connection attempt,06/12-19:55:11.115023,06/12-19:55:11.117548,0,unknown
SSH connection attempt,06/12-19:55:12.327024,06/12-19:55:30.475000,0,unknown
FTP connection attempt,06/12-19:55:30.487249,06/12-19:55:30.612558,0,unknown
SSH connection attempt,06/12-19:55:30.663497,06/12-19:55:30.870003,0,unknown
FTP connection attempt,06/12-19:55:30.871912,06/12-19:55:30.927158,0,unknown
SSH connection attempt,06/12-19:55:31.028250,06/12-19:56:35.783740,0,unknown
FTP connection attempt,06/12-19:56:37.132051,06/12-19:56:37.257634,0,unknown
SSH connection attempt,06/12-19:56:37.413641,06/12-19:56:37.414759,0,unknown
FTP connection attempt,06/12-19:56:37.498412,06/12-19:56:37.558831,0,unknown
SSH connection attempt,06/12-19:56:37.623542,06/12-20:04:38.083456,0,unknown
FTP connection attempt,06/12-20:04:39.132831,06/12-20:04:39.524887,0,unknown
SSH connection attempt,06/12-20:04:40.645681,06/12-20:04:41.252809,0,unknown
FTP connection attempt,06/12-20:04:41.516413,06/12-20:04:41.536470,0,unknown
SSH connection attempt,06/12-20:04:43.599208,06/12-20:04:44.498473,0,unknown
FTP connection attempt,06/12-20:04:44.536726,06/12-20:04:44.537798,0,unknown
SSH connection attempt,06/12-20:04:44.713607,06/12-20:04:44.713607,0,unknown
FTP connection attempt,06/12-20:04:44.787685,06/12-20:04:44.837056,0,unknown
SSH connection attempt,06/12-20:04:45.314064,06/12-20:13:37.304649,0,unknown
FTP connection attempt,06/12-20:13:37.439987,06/12-20:13:37.440594,0,unknown
SSH connection attempt,06/12-20:13:37.458347,06/12-20:13:37.461804,0,unknown
FTP connection attempt,06/12-20:13:37.564777,06/12-20:13:37.565651,0,unknown
SSH connection attempt,06/12-20:13:37.629820,06/12-20:13:37.629820,0,unknown
FTP connection attempt,06/12-20:13:37.807778,06/12-20:13:37.862449,0,unknown
SSH connection attempt,06/12-20:13:38.135463,06/12-20:16:47.699202,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:16:49.446220,06/12-20:16:49.446220,2,Attempted Denial of Service
SSH connection attempt,06/12-20:16:52.071993,06/12-20:16:53.344608,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:16:54.485274,06/12-20:16:54.485274,2,Attempted Denial of Service
SSH connection attempt,06/12-20:16:55.062727,06/12-20:16:59.822876,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:17:00.085098,06/12-20:17:19.423617,2,Attempted Denial of Service
SSH connection attempt,06/12-20:17:20.018207,06/12-20:17:24.347645,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:17:24.422076,06/12-20:17:24.422076,2,Attempted Denial of Service
SSH connection attempt,06/12-20:17:24.796220,06/12-20:17:28.355713,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:17:29.421358,06/12-20:16:54.485385,2,Attempted Denial of Service
SSH connection attempt,06/12-20:17:32.719871,06/12-20:17:32.943103,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:16:54.525517,06/12-20:16:54.525577,2,Attempted Denial of Service
SSH connection attempt,06/12-20:17:33.144854,06/12-20:17:33.144854,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:16:54.505444,06/12-20:16:54.505444,2,Attempted Denial of Service
SSH connection attempt,06/12-20:17:33.358716,06/12-20:17:33.958003,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:16:55.492811,06/12-20:16:54.545823,2,Attempted Denial of Service
SSH connection attempt,06/12-20:17:34.125493,06/12-20:17:34.125493,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:16:55.472974,06/12-20:16:56.700736,2,Attempted Denial of Service
SSH connection attempt,06/12-20:17:36.133597,06/12-20:17:36.137703,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:16:56.820659,06/12-20:16:56.056897,2,Attempted Denial of Service
SSH connection attempt,06/12-20:17:36.299047,06/12-20:17:36.877326,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:17:01.211870,06/12-20:17:01.315882,2,Attempted Denial of Service
SSH connection attempt,06/12-20:17:37.550384,06/12-20:17:38.104315,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:17:01.331908,06/12-20:17:01.331908,2,Attempted Denial of Service
SSH connection attempt,06/12-20:17:41.003101,06/12-20:19:14.816151,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:16.115763,06/12-20:19:16.115763,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:16.699452,06/12-20:19:21.207862,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:21.207928,06/12-20:19:21.207928,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:23.977940,06/12-20:19:24.157694,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:26.171645,06/12-20:19:26.171645,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:26.557588,06/12-20:19:30.749952,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:31.345079,06/12-20:19:31.345079,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:32.007657,06/12-20:19:35.224806,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:16.305443,06/12-20:19:16.115840,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:37.511301,06/12-20:19:38.039919,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:16.545811,06/12-20:19:16.533160,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:38.734177,06/12-20:19:38.734177,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:16.596553,06/12-20:19:16.558453,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:39.428709,06/12-20:19:39.807853,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:16.672402,06/12-20:19:16.609198,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:40.408867,06/12-20:19:40.408867,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:41.100094,06/12-20:19:17.241713,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:42.186583,06/12-20:19:42.186977,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:17.089957,06/12-20:19:17.279802,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:42.191678,06/12-20:19:42.191678,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:17.203756,06/12-20:19:17.140515,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:42.364879,06/12-20:19:42.546728,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:17.456903,06/12-20:19:17.558227,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:43.289509,06/12-20:19:43.289509,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:17.621457,06/12-20:19:17.583533,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:43.488364,06/12-20:19:44.041039,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:17.950394,06/12-20:19:17.861905,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:44.628857,06/12-20:19:44.628857,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:26.291141,06/12-20:19:46.101178,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:46.981849,06/12-20:19:48.977968,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:51.098530,06/12-20:19:51.098530,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:51.517922,06/12-20:19:55.657583,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:56.099645,06/12-20:19:56.099645,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:56.308282,06/12-20:19:56.670730,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:18.076954,06/12-20:19:21.255594,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:58.649977,06/12-20:19:58.824311,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:21.267610,06/12-20:19:21.267610,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:58.984191,06/12-20:19:58.984732,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:21.283471,06/12-20:19:21.283471,2,Attempted Denial of Service
SSH connection attempt,06/12-20:19:59.168036,06/12-20:19:59.860034,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:21.307567,06/12-20:19:21.319540,2,Attempted Denial of Service
SSH connection attempt,06/12-20:20:00.052957,06/12-20:20:00.632009,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:21.355520,06/12-20:19:25.587106,2,Attempted Denial of Service
SSH connection attempt,06/12-20:20:03.232874,06/12-20:20:03.407210,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:19:26.211152,06/12-20:19:26.251051,2,Attempted Denial of Service
SSH connection attempt,06/12-20:20:05.807563,06/12-20:20:12.300516,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:12.467811,06/12-20:20:12.467811,2,Attempted Denial of Service
SSH connection attempt,06/12-20:20:12.481629,06/12-20:20:16.866043,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:17.634572,06/12-20:20:17.634572,2,Attempted Denial of Service
SSH connection attempt,06/12-20:20:18.018376,06/12-20:20:27.426738,0,unknown
MALWARE-TOOLS slowhttptest DoS tool,06/12-20:20:27.703225,06/12-20:20:27.703225,2,Attempted Denial of Service
